timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627423200,Jul 27 2021 - 10:00pm,complete,N/A,Tlaxcala,Dorados,Luis Daniel Chavez Leon,1,0.00,0.00,1.63,1.56,1,1,2,2,1,1,"13","39",1,2,1,0,2,0,1,0,2,0,10,11,2,4,8,7,-1,-1,52,48,0.00,0.00,1.39,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,2.85,3.25,1.40,2.10,3.45,6.50,1.87,1.74,Estadio Tlahuicole (Tlaxcala)
1627430700,Jul 28 2021 - 12:05am,complete,N/A,Venados,Celaya,N/A,1,0.00,0.00,1.71,1.25,1,2,3,3,1,2,"44","28,31",2,1,0,0,2,0,0,0,0,2,17,10,8,7,9,3,-1,-1,52,48,0.00,0.00,2.28,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,2.90,2.40,1.45,2.20,3.75,7.00,2.00,1.67,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
1627437900,Jul 28 2021 - 2:05am,complete,N/A,Cimarrones de Sonora,Tapatío,N/A,1,0.00,0.00,1.57,0.94,0,0,0,0,0,0,"","",10,2,1,0,5,0,1,0,1,4,12,9,10,4,2,5,-1,-1,51,49,0.00,0.00,1.96,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,2.85,3.25,1.53,2.40,4.25,8.00,2.15,1.56,Estadio Héroe de Nacozari (Hermosillo)
1627517100,Jul 29 2021 - 12:05am,complete,N/A,Tampico Madero,Leones Negros de la Universidad de Guadalajara,N/A,1,0.00,0.00,1.45,1.44,3,2,5,4,2,2,"23,33,69","12,18",6,3,2,0,1,0,0,2,1,0,9,13,4,6,5,7,-1,-1,59,41,0.00,0.00,1.44,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.15,4.15,1.36,2.05,3.40,6.50,1.95,1.71,Estadio Tamaulipas (Tampico y Ciudad Madero)
1627524300,Jul 29 2021 - 2:05am,complete,N/A,Raya2,Cancún,Jesús Roberto Ruíz González,1,0.00,0.00,1.19,1.00,1,2,3,2,1,1,"21","16,79",-1,-1,2,1,1,1,0,3,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.35,2.05,0.00,0.00,0.00,0.00,0.00,0.00,Estadio BBVA (Guadalupe)
1627592400,Jul 29 2021 - 9:00pm,complete,N/A,Morelia,Mineros de Zacatecas,N/A,1,0.00,0.00,1.67,1.17,2,2,4,3,1,2,"29,58","14,30",11,2,3,0,3,0,1,2,0,3,9,10,5,7,4,3,-1,-1,50,50,0.00,0.00,1.46,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.30,3.35,1.39,2.10,3.55,6.75,2.00,1.67,Estadio Generalísimo José María Morelos y Pavón (Morelia)
1627689900,Jul 31 2021 - 12:05am,complete,N/A,Pumas Tabasco,Zacatepec Siglo XXI,N/A,1,0.00,0.00,0.76,1.35,0,0,0,0,0,0,"","",-1,-1,2,1,1,0,2,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.00,3.15,1.35,2.00,3.20,6.00,1.83,1.80,Estadio Olímpico de Villahermosa (Villahermosa)
1627851600,Aug 01 2021 - 9:00pm,complete,N/A,Atlante,Correcaminos UAT,N/A,1,0.00,0.00,2.04,1.00,3,0,3,2,2,0,"31,40,90","",8,6,1,0,2,0,0,1,0,2,16,5,10,3,6,2,-1,-1,57,43,0.00,0.00,2.41,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,3.90,5.75,1.38,2.00,3.50,6.50,2.10,1.61,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1628028000,Aug 03 2021 - 10:00pm,complete,N/A,Celaya,Tampico Madero,Mario Terrazas Chávez,2,0.00,0.00,1.90,0.95,0,0,0,0,0,0,"","",3,4,1,0,2,0,0,1,1,1,12,14,6,6,6,8,15,18,53,47,0.00,0.00,1.74,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.30,3.50,1.38,2.10,3.55,6.75,2.00,1.62,Estadio Miguel Alemán Valdés (Celaya)
1628035500,Aug 04 2021 - 12:05am,complete,N/A,Zacatepec Siglo XXI,Cimarrones de Sonora,N/A,2,0.00,0.00,1.65,1.05,0,1,1,1,0,1,"","35",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,2.90,2.55,1.40,2.10,3.45,6.50,1.91,1.71,Estadio Tecnológico de Oaxaca (Oaxaca)
