timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1656122700,Jun 25 2022 - 2:05am,complete,N/A,Mineros de Zacatecas,Celaya,Edgar Ulises Rangel Araújo,1,0.00,0.00,1.32,1.82,1,0,1,0,0,0,"68","",4,7,4,2,2,0,4,2,2,0,8,6,5,2,3,4,-1,-1,50,50,0.00,0.00,1.06,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.08,3.25,3.10,1.31,2.05,3.40,8.00,1.79,1.94,Estadio Carlos Vega Villalba (Zacatecas)
1656209100,Jun 26 2022 - 2:05am,complete,N/A,Leones Negros de la Universidad de Guadalajara,Zacatepec Siglo XXI,N/A,1,0.00,0.00,1.75,0.79,0,0,0,0,0,0,"","",-1,-1,1,0,5,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco (Guadalajara)
1656280800,Jun 26 2022 - 10:00pm,complete,N/A,Tepatitlán de Morelos,Dorados,N/A,1,0.00,0.00,1.50,1.06,2,0,2,0,0,0,"64,77","",7,2,5,0,2,0,2,3,2,0,7,5,3,4,4,1,-1,-1,50,50,0.00,0.00,1.16,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,3.25,2.52,1.40,2.25,4.00,7.50,1.91,1.85,Estadio Gregorio Tepa Gómez (Tepatitlán de Morelos)
1656288300,Jun 27 2022 - 12:05am,complete,N/A,Venados,Correcaminos UAT,Abraham de Jesús Quirarte Contreras,1,0.00,0.00,1.84,0.94,1,3,4,2,0,2,"64","24,40,61",2,5,1,0,3,0,1,0,1,2,12,14,4,6,8,8,22,15,44,56,0.00,0.00,1.42,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.13,3.35,3.20,1.29,1.83,3.00,5.50,1.70,2.10,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
1656295500,Jun 27 2022 - 2:05am,complete,N/A,Pumas Tabasco,Cancún,N/A,1,0.00,0.00,1.18,0.65,1,2,3,1,1,0,"4","48,64",6,3,4,1,0,1,2,3,0,1,7,7,3,5,4,2,14,14,50,50,0.00,0.00,1.11,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.13,3.12,3.12,1.36,2.10,3.75,7.00,1.91,1.85,Estadio Olímpico de Villahermosa (Villahermosa)
1656540000,Jun 29 2022 - 10:00pm,complete,N/A,Tapatío,Durango,N/A,1,0.00,0.00,2.00,0.68,3,1,4,2,1,1,"7,47,52","3",3,11,1,0,2,1,1,0,1,2,8,5,4,2,4,3,16,18,50,50,0.00,0.00,1.05,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.32,3.72,1.36,2.05,3.50,7.00,1.85,1.91,Estadio AKRON (Zapopan)
1656547500,Jun 30 2022 - 12:05am,complete,N/A,Tlaxcala,Cimarrones de Sonora,N/A,1,0.00,0.00,1.53,1.40,2,0,2,1,1,0,"5,86","",0,7,4,0,4,1,1,3,0,5,12,11,6,6,6,5,-1,-1,50,50,0.00,0.00,1.46,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,3.10,2.85,1.33,2.05,3.75,7.00,1.80,1.91,Estadio Tlahuicole (Tlaxcala)
1656554700,Jun 30 2022 - 2:05am,complete,N/A,Raya2,Morelia,N/A,1,0.00,0.00,1.11,1.19,1,0,1,1,1,0,"23","",2,5,5,0,4,0,3,2,1,3,5,6,2,3,3,3,19,16,52,48,0.00,0.00,0.66,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.00,2.25,0.00,2.08,0.00,0.00,1.91,1.80,Estadio BBVA (Guadalupe)
1656633600,Jul 01 2022 - 12:00am,complete,N/A,Atlante,CA La Paz,N/A,1,0.00,0.00,2.35,0.29,3,0,3,1,1,0,"21,51,85","",-1,-1,2,0,5,0,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.58,3.60,5.00,1.34,2.00,3.50,7.00,2.05,1.68,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1657058400,Jul 05 2022 - 10:00pm,complete,N/A,Morelia,Tlaxcala,N/A,2,0.00,0.00,2.00,1.00,2,0,2,1,1,0,"16,61","",6,8,2,0,3,0,2,0,2,1,9,4,4,0,5,4,13,19,50,50,0.00,0.00,1.32,0.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.34,3.35,1.35,2.09,3.68,6.95,1.95,1.76,Estadio Generalísimo José María Morelos y Pavón (Morelia)
