team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
CA Monarcas Morelia,Morelia,2022/2023,Mexico,43,22,21,0,19,13,6,12,5,7,12,4,8,1.6,2,1.19,4,3,5,3,56,42,14,98,49,49,33,23,16,26,17,-3,69,60,82,92,123,73,15,10,5,19,10,9,11,3,8,25,16,9,239,121,118,138,68,70,52,54,50,398,230,168,181,97,84,217,133,84,258,150,108,21,12,9,21,8,13,0,4,-4,12,8,4,22,12,10,9,2,7,1.35,1.64,1.05,2.28,2.23,2.33,1.3,1.5,1.1,0.98,0.73,1.24,0.98,0.91,1.05,0.49,0.55,0.43,0.49,0.36,0.62,41,28,15,9,3,2,21,15,8,2,2,1,20,13,7,7,1,1,2,15,28,34,40,41,1,7,14,20,20,21,1,8,14,14,20,20,95,65,35,21,7,5,95,68,36,9,9,5,95,62,33,33,5,5,5,35,65,79,93,95,5,32,64,91,91,95,5,38,67,67,95,95,26,10,4,13,5,1,13,5,3,60,23,9,59,23,5,62,24,14,44,59,29,21,35,45,24,44,45,43,26,14,38,58,73,43,29,17,12,67,77,57,23,11,12,53,50,57,8,3,5,19,14,24,28,36,19,51,55,48,21,9,33,5.98,6.05,5.90,3.21,3.09,3.33,93,85,73,60,48,40,33,18,1.48,1.71,1.28,1.30,1.10,1.48,49,7,2,4,4,11,5,9,6,8,2,3,6,8,4,3,8,2,5,28,23,33,28,18,38,13
CSyD Dorados de Sinaloa,Dorados,2022/2023,Mexico,35,18,17,0,10,5,5,6,3,3,19,10,9,1.03,1,1.06,18,18,12,16,35,58,-23,93,46,47,19,16,27,31,-8,-15,90,85,96,54,60,49,6,3,3,16,10,6,14,6,8,14,8,6,116,64,52,98,55,43,49,49,49,277,171,106,117,64,53,160,107,53,226,124,102,12,7,5,20,8,12,-8,-1,-7,9,6,3,14,6,8,12,6,6,1.17,1.33,1,2.66,2.56,2.76,1,1.06,0.94,1.66,1.5,1.82,0.91,0.83,1,0.34,0.39,0.29,0.57,0.44,0.71,34,30,19,6,3,1,17,13,10,4,2,0,17,17,9,2,1,1,1,5,16,29,32,34,1,5,8,14,16,18,0,0,8,15,16,16,97,86,54,17,9,3,94,72,56,22,11,0,100,100,53,12,6,6,3,14,46,83,91,97,6,28,44,78,89,100,0,0,47,88,94,94,22,7,3,13,2,0,9,5,3,63,20,9,72,11,0,53,29,18,29,28,29,8,17,17,18,46,56,35,40,33,47,40,44,35,20,11,9,57,61,53,25,11,14,71,61,82,3,1,2,9,6,12,26,33,18,40,33,47,34,33,35,3.52,3.76,3.25,2.8,3.06,2.53,79,70,45,30,18,15,9,9,0.94,1.12,0.78,1.67,1.56,1.78,49,1,4,3,2,3,4,5,5,8,4,3,9,2,7,5,10,8,10,17,17,18,54,56,53,9
Leones Negros de la Universidad de Guadalajara,Leones Negros de la Universidad de Guadalajara,2022/2023,Mexico,41,20,21,0,16,10,6,11,5,6,14,5,9,1.44,1.75,1.14,12,6,6,6,57,44,13,101,58,43,37,20,21,23,16,-3,65,49,95,84,86,82,17,10,7,15,7,8,12,5,7,18,10,8,187,116,71,118,46,72,51,50,51,465,260,205,190,107,83,275,153,122,173,43,130,21,14,7,18,7,11,3,7,-4,12,7,5,18,9,9,11,4,7,1.32,1.5,1.14,2.46,2.9,2.05,1.39,1.85,0.95,1.07,1.05,1.1,0.95,1.05,0.86,0.51,0.7,0.33,0.44,0.35,0.52,38,29,19,11,3,1,18,16,13,7,3,1,20,13,6,4,0,0,3,12,22,30,38,40,2,4,7,13,17,19,1,8,15,17,21,21,93,71,46,27,7,2,90,80,65,35,15,5,95,62,29,19,0,0,7,29,54,73,93,98,10,20,35,65,85,95,5,38,71,81,100,100,27,9,2,13,5,2,14,4,0,66,22,5,65,25,10,67,19,0,39,50,29,18,41,50,33,37,35,38,29,25,33,44,50,38,26,14,12,63,70,57,25,11,14,61,55,67,4,2,2,10,10,10,29,35,24,44,45,43,27,20,33,4.79,6.11,3.55,2.88,2.3,3.43,77,59,46,41,33,28,23,18,1.57,1.75,1.39,1.49,1.48,1.51,51,2,3,5,5,9,6,8,8,11,3,3,3,5,5,8,6,7,4,27,25,29,34,25,43,10
Club Atlante,Atlante,2022/2023,Mexico,46,23,23,0,23,16,7,17,6,11,6,1,5,1.87,2.35,1.39,3,1,2,2,69,36,33,105,46,59,36,33,10,26,26,7,60,57,63,115,209,80,20,15,5,23,7,16,9,4,5,30,16,14,225,135,90,133,53,80,50,51,48,514,308,206,222,126,96,292,182,110,207,94,113,34,13,21,13,5,8,21,8,13,19,7,12,22,14,8,5,2,3,1.72,1.52,1.91,2.28,2,2.57,1.5,1.57,1.43,0.78,0.43,1.13,1.02,0.78,1.26,0.74,0.57,0.91,0.28,0.22,0.35,40,30,20,10,3,1,20,13,9,3,1,0,20,17,11,7,2,1,6,16,26,36,43,45,3,10,14,20,22,23,3,6,12,16,21,22,87,65,43,22,7,2,87,57,39,13,4,0,87,74,48,30,9,4,13,35,57,78,93,98,13,43,61,87,96,100,13,26,52,70,91,96,28,12,7,11,5,2,17,7,5,61,26,15,48,22,9,74,30,22,50,70,30,25,43,65,22,50,30,70,20,17,22,65,70,61,34,18,16,74,78,70,22,14,8,48,61,35,8,3,5,17,13,22,41,30,52,48,61,35,11,9,13,5.23,6.43,4.09,2.89,2.3,3.48,74,53,47,35,28,23,16,12,1.79,2.08,1.51,1.07,0.93,1.21,63,6,6,7,11,6,7,7,3,14,2,1,4,3,6,5,7,2,6,37,26,48,13,4,22,5
Cimarrones de Sonora FC,Cimarrones de Sonora,2022/2023,Mexico,41,21,20,0,17,9,8,13,9,4,11,3,8,1.56,1.71,1.4,5,5,3,5,52,34,18,86,39,47,28,24,11,23,17,1,71,68,75,108,173,78,16,11,5,18,8,10,13,7,6,19,10,9,164,85,79,111,54,57,50,51,49,351,202,149,173,92,81,178,110,68,260,158,102,17,10,7,16,4,12,1,6,-5,12,6,6,17,13,4,12,2,10,1.29,1.48,1.1,2.1,1.86,2.35,1.27,1.33,1.2,0.83,0.52,1.15,0.8,0.67,0.95,0.41,0.48,0.35,0.39,0.19,0.6,35,27,16,7,1,0,16,12,7,3,1,0,19,15,9,4,0,0,6,14,25,34,40,41,5,9,14,18,20,21,1,5,11,16,20,20,85,66,39,17,2,0,76,57,33,14,5,0,95,75,45,20,0,0,15,34,61,83,98,100,24,43,67,86,95,100,5,25,55,80,100,100,26,5,1,9,3,1,17,2,0,63,12,2,43,14,5,85,10,0,41,43,40,21,39,52,25,44,38,50,32,33,30,46,48,45,26,17,9,63,81,45,27,14,13,66,67,65,3,2,1,7,10,5,29,29,30,41,62,20,29,10,50,4.32,4.47,4.16,2.71,2.57,2.85,84,74,50,39,24,16,11,3,1.16,1.27,1.04,1.26,1.14,1.38,44,3,2,4,3,8,11,4,7,10,5,3,4,1,6,2,1,3,9,32,43,20,27,14,40,0
Venados FC Yucatán,Venados,2022/2023,Mexico,38,19,19,0,14,10,4,11,5,6,13,4,9,1.39,1.84,0.95,9,7,9,7,47,43,4,90,43,47,27,20,16,27,11,-7,73,63,86,80,107,63,10,8,2,19,8,11,11,4,7,17,10,7,157,83,74,114,45,69,49,49,48,344,187,157,152,81,71,192,106,86,199,105,94,22,13,9,17,5,12,5,8,-3,13,8,5,16,8,8,9,3,6,1.45,1.68,1.21,2.37,2.26,2.47,1.24,1.42,1.05,1.13,0.84,1.42,1.03,0.95,1.11,0.58,0.68,0.47,0.45,0.26,0.63,36,28,15,6,4,1,18,13,6,3,2,1,18,15,9,3,2,0,2,10,23,32,34,37,1,6,13,16,17,18,1,4,10,16,17,19,95,74,39,16,11,3,95,68,32,16,11,5,95,79,47,16,11,0,5,26,61,84,89,97,5,32,68,84,89,95,5,21,53,84,89,100,24,10,4,11,4,2,13,6,2,63,26,11,58,21,11,68,32,11,37,53,21,21,26,42,11,50,42,58,29,21,37,45,53,37,25,15,10,66,79,53,23,11,12,61,58,63,4,1,3,11,5,16,34,42,26,42,42,42,24,16,32,4.36,4.61,4.11,3,2.37,3.63,89,75,69,50,36,31,17,14,1.15,1.24,1.05,1.44,1.34,1.54,55,4,6,3,6,4,1,9,6,8,1,4,3,6,4,2,10,8,5,29,26,32,34,21,47,11
Correcaminos UAT,Correcaminos UAT,2022/2023,Mexico,35,17,18,0,11,6,5,8,6,2,16,5,11,1.17,1.41,0.94,11,14,13,13,37,43,-6,80,40,40,21,16,19,24,2,-8,85,73,101,73,80,68,11,5,6,14,9,5,15,6,9,14,7,7,178,80,98,95,42,53,51,52,50,339,184,155,146,73,73,193,111,82,252,141,111,19,9,10,14,8,6,5,1,4,9,4,5,16,9,7,10,4,6,1.23,1.24,1.22,2.29,2.35,2.22,1.06,1.24,0.89,1.23,1.12,1.33,0.94,1,0.89,0.54,0.53,0.56,0.4,0.47,0.33,30,21,15,7,3,2,14,11,6,3,2,2,16,10,9,4,1,0,5,14,20,28,32,33,3,6,11,14,15,15,2,8,9,14,17,18,86,60,43,20,9,6,82,65,35,18,12,12,89,56,50,22,6,0,14,40,57,80,91,94,18,35,65,82,88,88,11,44,50,78,94,100,22,8,3,11,5,1,11,3,2,63,23,9,65,29,6,61,17,11,31,35,28,13,31,29,33,40,53,28,43,35,50,40,41,39,22,10,12,63,59,67,22,9,13,63,53,72,4,4,0,11,24,0,26,24,28,46,53,39,29,24,33,5.39,5.00,5.76,2.71,2.47,2.94,88,85,79,67,48,48,45,27,1.39,1.52,1.26,1.33,1.34,1.33,63,3,2,4,8,6,6,3,1,4,1,2,2,6,6,4,8,5,9,23,35,11,46,29,61,18
Club Deportivo Mineros de Zacatecas,Mineros de Zacatecas,2022/2023,Mexico,37,19,18,0,12,7,5,7,4,3,18,8,10,1.16,1.32,1,17,13,10,11,52,67,-15,119,61,58,29,23,32,35,-3,-12,64,59,70,50,54,46,6,4,2,25,13,12,6,2,4,16,10,6,205,126,79,116,62,54,51,53,50,364,177,187,174,79,95,190,98,92,219,141,78,25,15,10,33,18,15,-8,-3,-5,9,5,4,12,8,4,16,6,10,1.05,1.21,0.89,3.22,3.21,3.22,1.41,1.53,1.28,1.81,1.68,1.94,1.57,1.74,1.39,0.68,0.79,0.56,0.89,0.95,0.83,37,32,25,12,7,2,19,16,11,6,3,2,18,16,14,6,4,0,0,5,12,25,30,35,0,3,8,13,16,17,0,2,4,12,14,18,100,86,68,32,19,5,100,84,58,32,16,11,100,89,78,33,22,0,0,14,32,68,81,95,0,16,42,68,84,89,0,11,22,67,78,100,28,15,11,13,10,7,15,5,4,76,41,30,68,53,37,83,28,22,32,37,28,8,16,21,11,68,68,67,16,11,22,43,53,33,17,10,7,46,53,39,18,8,10,49,42,56,11,7,4,30,37,22,24,26,22,32,42,22,43,32,56,5.86,7.00,4.65,3.14,3.26,3.00,89,77,66,56,46,34,28,20,1.53,1.49,1.59,1.31,1.14,1.48,100,6,4,4,5,9,4,3,5,12,7,4,9,11,8,3,10,6,9,19,21,17,49,42,56,17
Celaya CF,Celaya,2022/2023,Mexico,44,22,22,0,28,17,11,9,2,7,7,3,4,2.11,2.41,1.82,1,2,1,1,69,38,31,107,62,45,40,29,22,16,18,13,57,49,68,105,90,123,20,8,12,21,13,8,6,1,5,28,16,12,203,123,80,164,73,91,50,51,49,386,213,173,181,100,81,205,113,92,264,153,111,24,12,12,17,11,6,7,1,6,15,8,7,20,8,12,9,6,3,1.48,1.45,1.5,2.43,2.82,2.05,1.57,1.82,1.32,0.86,1,0.73,0.93,1.05,0.82,0.55,0.55,0.55,0.39,0.5,0.27,41,29,19,11,5,2,22,18,12,6,2,2,19,11,7,5,3,0,3,15,25,33,39,42,0,4,10,16,20,20,3,11,15,17,19,22,93,66,43,25,11,5,100,82,55,27,9,9,86,50,32,23,14,0,7,34,57,75,89,95,0,18,45,73,91,91,14,50,68,77,86,100,27,9,4,15,4,3,12,5,1,61,20,9,68,18,14,55,23,5,64,77,50,0,45,36,55,48,59,36,14,5,23,64,73,55,32,15,17,73,68,77,24,12,12,55,55,55,5,2,3,11,9,14,34,36,32,45,36,55,20,27,14,4.83,5.86,3.81,3.73,3.32,4.14,83,71,52,36,31,21,17,10,1.37,1.50,1.23,1.35,1.20,1.51,41,7,3,5,5,8,7,8,8,18,4,5,2,3,4,6,3,4,5,20,9,32,16,14,18,5
Club de Fútbol Zacatepec Siglo XXI,Zacatepec Siglo XXI,2022/2023,Mexico,36,17,19,0,9,7,2,14,5,9,13,5,8,1.14,1.53,0.79,14,12,14,12,46,44,2,90,46,44,29,17,17,27,12,-10,70,53,101,74,90,63,13,8,5,16,6,10,12,4,8,15,11,4,0,0,0,147,69,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,5,16,6,10,2,7,-5,10,7,3,17,7,10,9,3,6,1.31,1.65,1,2.5,2.71,2.32,1.28,1.71,0.89,1.22,1,1.42,0.94,1.12,0.79,0.5,0.76,0.26,0.44,0.35,0.53,31,27,17,10,1,1,16,12,11,7,0,0,15,15,6,3,1,1,5,9,19,26,35,35,1,5,6,10,17,17,4,4,13,16,18,18,86,75,47,28,3,3,94,71,65,41,0,0,79,79,32,16,5,5,14,25,53,72,97,97,6,29,35,59,100,100,21,21,68,84,95,95,20,8,4,11,5,3,9,3,1,56,22,11,65,29,18,47,16,5,25,41,11,26,36,47,26,44,35,53,33,24,42,42,65,21,24,12,12,67,71,63,24,8,16,67,47,84,4,3,1,11,18,5,28,41,16,47,41,53,25,18,32,0.00,0.00,0.00,4.08,4.06,4.11,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,2,4,7,4,2,9,6,7,5,5,3,4,3,5,2,6,4,12,39,29,47,36,29,42,0
